Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-11-05,2019,11,5,Tuesday,44,2019-44,307.59,307.92,306.71,307.03,42933200,293.8,-0.001106066713669307,289.29857142857145,284.2738
2019-11-06,2019,11,6,Wednesday,44,2019-44,307.03,307.4,306.06,307.1,46487100,293.86,0.00022810619402835464,289.8328571428571,284.68620000000004
2019-11-07,2019,11,7,Thursday,44,2019-44,308.57,309.65,307.66,308.18,54272300,294.9,0.003516769822409671,290.5307142857143,285.0808
2019-11-08,2019,11,8,Friday,44,2019-44,307.8,309.0,307.03,308.94,49032100,295.62,0.00246627524861176,291.14214285714286,285.4196
2019-11-11,2019,11,11,Monday,45,2019-45,307.42,308.54,307.27,308.35,35797300,295.06,-0.0019097785513699783,291.7807142857143,285.7496
2019-11-12,2019,11,12,Tuesday,45,2019-45,308.75,309.99,308.15,309.0,46484600,295.68,0.0021078789266615328,292.4042857142857,286.12460000000004
2019-11-13,2019,11,13,Wednesday,45,2019-45,307.91,309.54,307.66,309.1,53917700,295.78,0.00032367045599857036,293.0014285714286,286.43879999999996
2019-11-14,2019,11,14,Thursday,45,2019-45,308.79,309.64,308.09,309.55,51219900,296.21,0.0014556330616075641,293.545,286.6896
2019-11-15,2019,11,15,Friday,45,2019-45,311.02,311.84,310.26,311.79,62023600,298.35,0.007236368922630243,294.125,286.97880000000004
2019-11-18,2019,11,18,Monday,46,2019-46,311.53,312.28,311.03,312.02,49228000,298.57,0.0007376987807716784,294.7271428571429,287.2696
2019-11-19,2019,11,19,Tuesday,46,2019-46,312.68,312.69,311.22,311.93,67804700,298.48,-0.00028844306162578714,295.25928571428574,287.5598
2019-11-20,2019,11,20,Wednesday,46,2019-46,311.28,311.85,309.06,310.77,79406200,297.37,-0.003718737788498183,295.76714285714286,287.7874
2019-11-21,2019,11,21,Thursday,46,2019-46,310.89,311.01,309.39,310.27,54664700,296.9,-0.001608827090443854,296.05,287.98580000000004
